Scenario,Panel,Scope,Series,Year,Value,Unit,Role
baseline_noce,a,Emitter regions,Eastern Africa,2019,18.3945550519248,MtCO2e/yr,plotted
baseline_noce,a,Emitter regions,Eastern Africa,2050,45.363102469305,MtCO2e/yr,plotted
baseline_noce,a,Emitter regions,West & Central Africa,2019,12.4951264349183,MtCO2e/yr,plotted
baseline_noce,a,Emitter regions,West & Central Africa,2050,36.2477938368352,MtCO2e/yr,plotted
baseline_noce,a,Emitter regions,Other model regions,2019,282.19848886929304,MtCO2e/yr,plotted
baseline_noce,a,Emitter regions,Other model regions,2050,209.1401352860669,MtCO2e/yr,plotted
baseline_noce,b,Selected emitters,Selected emitter coverage,2019,87.75862354339996,%,context
baseline_noce,b,Selected emitters,Selected emitter coverage,2024,89.8492630821681,%,context
baseline_noce,b,Selected emitters,Selected emitter coverage,2030,92.8226839395395,%,context
baseline_noce,b,Selected emitters,Selected emitter coverage,2035,96.33680388563549,%,context
baseline_noce,b,Selected emitters,Selected emitter coverage,2040,97.23028896666953,%,context
baseline_noce,b,Selected emitters,Selected emitter coverage,2050,99.38984935647976,%,context
baseline_noce,b,Emitter regions,India,2019,271.672177058831,MtCO2e/yr,plotted
baseline_noce,b,Emitter regions,India,2050,618.564760123933,MtCO2e/yr,plotted
baseline_noce,b,Emitter regions,China region,2019,1585.38682152395,MtCO2e/yr,plotted
baseline_noce,b,Emitter regions,China region,2050,74.9852979347739,MtCO2e/yr,plotted
baseline_noce,b,Emitter regions,Brazil,2019,52.5063057077343,MtCO2e/yr,plotted
baseline_noce,b,Emitter regions,Brazil,2050,8.65888267488134,MtCO2e/yr,plotted
baseline_noce,b,Emitter regions,Indonesia group,2019,28.6517242265395,MtCO2e/yr,plotted
baseline_noce,b,Emitter regions,Indonesia group,2050,5.81633782149154,MtCO2e/yr,plotted
baseline_noce,b,Emitter regions,Other Latin America,2019,8.06215981872513,MtCO2e/yr,plotted
baseline_noce,b,Emitter regions,Other Latin America,2050,5.23865620060724,MtCO2e/yr,plotted
baseline_noce,b,Emitter regions,Russia,2019,189.408294016028,MtCO2e/yr,plotted
baseline_noce,b,Emitter regions,Russia,2050,5.08870921002356,MtCO2e/yr,plotted
baseline_noce,b,Emitter regions,Turkey & Levant,2019,22.3022013177956,MtCO2e/yr,plotted
baseline_noce,b,Emitter regions,Turkey & Levant,2050,4.17481446384667,MtCO2e/yr,plotted
baseline_noce,b,Emitter regions,Mexico,2019,15.233726069800198,MtCO2e/yr,plotted
baseline_noce,b,Emitter regions,Mexico,2050,4.07483893999287,MtCO2e/yr,plotted
baseline_noce,b,Emitter regions,Gulf & Iran,2019,22.302832746629903,MtCO2e/yr,plotted
baseline_noce,b,Emitter regions,Gulf & Iran,2050,2.9646576267543603,MtCO2e/yr,plotted
baseline_noce,b,Emitter regions,Europe,2019,207.79156372438777,MtCO2e/yr,plotted
baseline_noce,b,Emitter regions,Europe,2050,2.560092392142349,MtCO2e/yr,plotted
baseline_noce,b,Emitter regions,Northern Africa,2019,6.21367470921723,MtCO2e/yr,plotted
baseline_noce,b,Emitter regions,Northern Africa,2050,2.4662822846989503,MtCO2e/yr,plotted
baseline_noce,b,Emitter regions,Eastern Africa,2019,0.0184619638539668,MtCO2e/yr,plotted
