Scenario,Scope,Series,Year,Value,Unit
baseline_noce,Regional set 4,MDA,2019,1.1708484217132e-05,USD_2010/tCO2e
baseline_noce,Regional set 4,MDA,2024,12.7263052292843,USD_2010/tCO2e
baseline_noce,Regional set 4,MDA,2030,10.8071312846607,USD_2010/tCO2e
baseline_noce,Regional set 4,MDA,2035,37.7504803049681,USD_2010/tCO2e
baseline_noce,Regional set 4,MDA,2040,155.846132886533,USD_2010/tCO2e
baseline_noce,Regional set 4,MDA,2050,974.988570167142,USD_2010/tCO2e
baseline_noce,Regional set 4,MEA,2019,3.25924472323011e-06,USD_2010/tCO2e
baseline_noce,Regional set 4,MEA,2024,4.30062186315719e-07,USD_2010/tCO2e
baseline_noce,Regional set 4,MEA,2030,486.531528865807,USD_2010/tCO2e
baseline_noce,Regional set 4,MEA,2035,176.194935447024,USD_2010/tCO2e
baseline_noce,Regional set 4,MEA,2040,390.532645969027,USD_2010/tCO2e
baseline_noce,Regional set 4,MEA,2050,349.042666537538,USD_2010/tCO2e
baseline_noce,Regional set 4,MEX,2019,1.77627797722573e-05,USD_2010/tCO2e
baseline_noce,Regional set 4,MEX,2024,1.12614980710583e-06,USD_2010/tCO2e
baseline_noce,Regional set 4,MEX,2030,2.47780505825297e-08,USD_2010/tCO2e
baseline_noce,Regional set 4,MEX,2035,484.35402774346,USD_2010/tCO2e
baseline_noce,Regional set 4,MEX,2040,546.348206634741,USD_2010/tCO2e
baseline_noce,Regional set 4,MEX,2050,135.19594180814502,USD_2010/tCO2e
baseline_noce,Regional set 4,NIG,2019,3.79849249220973e-05,USD_2010/tCO2e
baseline_noce,Regional set 4,NIG,2024,128.252861926504,USD_2010/tCO2e
baseline_noce,Regional set 4,NIG,2030,125.273752927235,USD_2010/tCO2e
baseline_noce,Regional set 4,NIG,2035,185.60603609373,USD_2010/tCO2e
baseline_noce,Regional set 4,NIG,2040,374.662723032886,USD_2010/tCO2e
baseline_noce,Regional set 4,NIG,2050,357.973720361468,USD_2010/tCO2e
baseline_noce,Regional set 4,RUS,2019,3.81571711083183e-06,USD_2010/tCO2e
baseline_noce,Regional set 4,RUS,2024,4.55335428248339e-07,USD_2010/tCO2e
baseline_noce,Regional set 4,RUS,2030,1.67210178198535e-08,USD_2010/tCO2e
baseline_noce,Regional set 4,RUS,2035,724.007446532576,USD_2010/tCO2e
baseline_noce,Regional set 4,RUS,2040,925.950560680791,USD_2010/tCO2e
baseline_noce,Regional set 4,RUS,2050,347.436199398999,USD_2010/tCO2e
baseline_noce,Regional set 4,SKT,2019,4.47021538609397e-06,USD_2010/tCO2e
baseline_noce,Regional set 4,SKT,2024,67.2721830744182,USD_2010/tCO2e
baseline_noce,Regional set 4,SKT,2030,184.906205773187,USD_2010/tCO2e
baseline_noce,Regional set 4,SKT,2035,489.288440876983,USD_2010/tCO2e
baseline_noce,Regional set 4,SKT,2040,590.1657238812879,USD_2010/tCO2e
baseline_noce,Regional set 4,SKT,2050,3826.98935907109,USD_2010/tCO2e
baseline_noce,Regional set 4,USA,2019,1.7862999808939398e-06,USD_2010/tCO2e
baseline_noce,Regional set 4,USA,2024,148.61832552322198,USD_2010/tCO2e
baseline_noce,Regional set 4,USA,2030,1501.2900393588,USD_2010/tCO2e
baseline_noce,Regional set 4,USA,2035,621.188499508276,USD_2010/tCO2e
baseline_noce,Regional set 4,USA,2040,703.273624063811,USD_2010/tCO2e
baseline_noce,Regional set 4,USA,2050,4175.68382873723,USD_2010/tCO2e
