Scenario,Scope,Series,Year,Value,Unit,Figure
baseline_noce,ENE,Total,2035,0.1697849896234169,Mt/yr,production_aluminium_ene
baseline_noce,ENE,Total,2040,0.185624982976887,Mt/yr,production_aluminium_ene
baseline_noce,ENE,Total,2050,0.20872496965153142,Mt/yr,production_aluminium_ene
baseline_noce,ENE,Primary,2019,0.114999996858529,Mt/yr,production_aluminium_ene
baseline_noce,ENE,Primary,2024,0.0644822777379715,Mt/yr,production_aluminium_ene
baseline_noce,ENE,Primary,2030,0.0774931526659037,Mt/yr,production_aluminium_ene
baseline_noce,ENE,Primary,2035,0.0931021166095086,Mt/yr,production_aluminium_ene
baseline_noce,ENE,Primary,2040,0.106401078267916,Mt/yr,production_aluminium_ene
baseline_noce,ENE,Primary,2050,0.124419001580314,Mt/yr,production_aluminium_ene
baseline_noce,ENE,Secondary,2019,0.049999998556632,Mt/yr,production_aluminium_ene
baseline_noce,ENE,Secondary,2024,0.0704052636786478,Mt/yr,production_aluminium_ene
baseline_noce,ENE,Secondary,2030,0.0741418329552608,Mt/yr,production_aluminium_ene
baseline_noce,ENE,Secondary,2035,0.0766828730139083,Mt/yr,production_aluminium_ene
baseline_noce,ENE,Secondary,2040,0.079223904708971,Mt/yr,production_aluminium_ene
baseline_noce,ENE,Secondary,2050,0.0843059680712174,Mt/yr,production_aluminium_ene
baseline_noce,ENW,Cement,2019,13.2889999977749,Mt/yr,production_cement_enw
baseline_noce,ENW,Cement,2024,11.9534557089186,Mt/yr,production_cement_enw
baseline_noce,ENW,Cement,2030,12.3986370007141,Mt/yr,production_cement_enw
baseline_noce,ENW,Cement,2035,13.0630870013201,Mt/yr,production_cement_enw
baseline_noce,ENW,Cement,2040,13.541491000946,Mt/yr,production_cement_enw
baseline_noce,ENW,Cement,2050,14.7507900004842,Mt/yr,production_cement_enw
baseline_noce,ENW,Clinker,2019,13.2340384464369,Mt/yr,production_cement_enw
baseline_noce,ENW,Clinker,2024,11.8164523727044,Mt/yr,production_cement_enw
baseline_noce,ENW,Clinker,2030,11.9507778647139,Mt/yr,production_cement_enw
baseline_noce,ENW,Clinker,2035,12.3257422890974,Mt/yr,production_cement_enw
baseline_noce,ENW,Clinker,2040,12.533957827398,Mt/yr,production_cement_enw
baseline_noce,ENW,Clinker,2050,13.2208044134676,Mt/yr,production_cement_enw
baseline_noce,ENW,Total,2019,9.437634567604551,Mt/yr,production_steel_enw
baseline_noce,ENW,Total,2024,6.09199345914961,Mt/yr,production_steel_enw
baseline_noce,ENW,Total,2030,4.020432322868868,Mt/yr,production_steel_enw
baseline_noce,ENW,Total,2035,3.624051669153567,Mt/yr,production_steel_enw
baseline_noce,ENW,Total,2040,3.274859191208,Mt/yr,production_steel_enw
baseline_noce,ENW,Total,2050,,Mt/yr,production_steel_enw
baseline_noce,ENW,Primary,2019,6.83914348288014,Mt/yr,production_steel_enw
baseline_noce,ENW,Primary,2024,0.84109043331369,Mt/yr,production_steel_enw
baseline_noce,ENW,Primary,2030,0.0207621501951281,Mt/yr,production_steel_enw
baseline_noce,ENW,Primary,2035,0.957996904097267,Mt/yr,production_steel_enw
baseline_noce,ENW,Primary,2040,2.47114547754177,Mt/yr,production_steel_enw
baseline_noce,ENW,Primary,2050,2.67085058000008,Mt/yr,production_steel_enw
baseline_noce,ENW,Secondary,2019,2.59849108472441,Mt/yr,production_steel_enw
baseline_noce,ENW,Secondary,2024,5.25090302583592,Mt/yr,production_steel_enw
baseline_noce,ENW,Secondary,2030,3.99967017267374,Mt/yr,production_steel_enw
baseline_noce,ENW,Secondary,2035,2.6660547650563,Mt/yr,production_steel_enw
baseline_noce,ENW,Secondary,2040,0.80371371366623,Mt/yr,production_steel_enw
baseline_noce,ENW,Secondary,2050,,Mt/yr,production_steel_enw
baseline_noce,ENW,Total,2019,3.40299998803522,Mt/yr,production_aluminium_enw
baseline_noce,ENW,Total,2024,2.531832023354278,Mt/yr,production_aluminium_enw
baseline_noce,ENW,Total,2030,2.416129997280464,Mt/yr,production_aluminium_enw
baseline_noce,ENW,Total,2035,1.9124859972936872,Mt/yr,production_aluminium_enw
baseline_noce,ENW,Total,2040,1.2965429732730327,Mt/yr,production_aluminium_enw
baseline_noce,ENW,Total,2050,,Mt/yr,production_aluminium_enw
baseline_noce,ENW,Primary,2019,2.29299998964491,Mt/yr,production_aluminium_enw
baseline_noce,ENW,Primary,2024,2.18579127764237,Mt/yr,production_aluminium_enw
baseline_noce,ENW,Primary,2030,2.00990525443548,Mt/yr,production_aluminium_enw
baseline_noce,ENW,Primary,2035,1.48829414490905,Mt/yr,production_aluminium_enw
baseline_noce,ENW,Primary,2040,1.22865655143914,Mt/yr,production_aluminium_enw
baseline_noce,ENW,Primary,2050,0.360717994926575,Mt/yr,production_aluminium_enw
baseline_noce,ENW,Secondary,2019,1.10999999839031,Mt/yr,production_aluminium_enw
baseline_noce,ENW,Secondary,2024,0.346040745711908,Mt/yr,production_aluminium_enw
baseline_noce,ENW,Secondary,2030,0.406224742844984,Mt/yr,production_aluminium_enw
baseline_noce,ENW,Secondary,2035,0.424191852384637,Mt/yr,production_aluminium_enw
baseline_noce,ENW,Secondary,2040,0.0678864218338927,Mt/yr,production_aluminium_enw
baseline_noce,ENW,Secondary,2050,,Mt/yr,production_aluminium_enw
baseline_noce,EUE,Cement,2019,48.9649999978808,Mt/yr,production_cement_eue
baseline_noce,EUE,Cement,2024,47.2512253386675,Mt/yr,production_cement_eue
baseline_noce,EUE,Cement,2030,48.4753500023685,Mt/yr,production_cement_eue
baseline_noce,EUE,Cement,2035,48.769140002026,Mt/yr,production_cement_eue
baseline_noce,EUE,Cement,2040,48.0346650012374,Mt/yr,production_cement_eue
baseline_noce,EUE,Cement,2050,46.6146800015422,Mt/yr,production_cement_eue
baseline_noce,EUE,Clinker,2019,38.0397999837204,Mt/yr,production_cement_eue
baseline_noce,EUE,Clinker,2024,36.2075497443247,Mt/yr,production_cement_eue
baseline_noce,EUE,Clinker,2030,36.3026491345685,Mt/yr,production_cement_eue
baseline_noce,EUE,Clinker,2035,35.8740673882882,Mt/yr,production_cement_eue
baseline_noce,EUE,Clinker,2040,34.7265334214449,Mt/yr,production_cement_eue
baseline_noce,EUE,Clinker,2050,32.5925006301082,Mt/yr,production_cement_eue
baseline_noce,EUE,Total,2019,26.275772628902928,Mt/yr,production_steel_eue
baseline_noce,EUE,Total,2024,18.0645945588677,Mt/yr,production_steel_eue
baseline_noce,EUE,Total,2030,15.818015083776,Mt/yr,production_steel_eue
baseline_noce,EUE,Total,2035,14.924638810220289,Mt/yr,production_steel_eue
baseline_noce,EUE,Total,2040,14.08381409704151,Mt/yr,production_steel_eue
baseline_noce,EUE,Total,2050,,Mt/yr,production_steel_eue
baseline_noce,EUE,Primary,2019,21.2887547116015,Mt/yr,production_steel_eue
baseline_noce,EUE,Primary,2024,11.2356943268682,Mt/yr,production_steel_eue
baseline_noce,EUE,Primary,2030,0.3568586099092,Mt/yr,production_steel_eue
baseline_noce,EUE,Primary,2035,0.872486790188588,Mt/yr,production_steel_eue
baseline_noce,EUE,Primary,2040,3.81191413320501,Mt/yr,production_steel_eue
baseline_noce,EUE,Primary,2050,12.5072677535169,Mt/yr,production_steel_eue
baseline_noce,EUE,Secondary,2019,4.98701791730143,Mt/yr,production_steel_eue
baseline_noce,EUE,Secondary,2024,6.8289002319995,Mt/yr,production_steel_eue
baseline_noce,EUE,Secondary,2030,15.4611564738668,Mt/yr,production_steel_eue
baseline_noce,EUE,Secondary,2035,14.0521520200317,Mt/yr,production_steel_eue
baseline_noce,EUE,Secondary,2040,10.2718999638365,Mt/yr,production_steel_eue
baseline_noce,EUE,Secondary,2050,,Mt/yr,production_steel_eue
baseline_noce,EUE,Total,2019,0.799999990402699,Mt/yr,production_aluminium_eue
baseline_noce,EUE,Total,2024,1.55640002991838,Mt/yr,production_aluminium_eue
baseline_noce,EUE,Total,2030,1.798399994566379,Mt/yr,production_aluminium_eue
baseline_noce,EUE,Total,2035,1.859999991771723,Mt/yr,production_aluminium_eue
baseline_noce,EUE,Total,2040,1.879999985659731,Mt/yr,production_aluminium_eue
baseline_noce,EUE,Total,2050,1.749599987746402,Mt/yr,production_aluminium_eue
baseline_noce,EUE,Primary,2019,0.579999991550749,Mt/yr,production_aluminium_eue
baseline_noce,EUE,Primary,2024,1.04208782778928,Mt/yr,production_aluminium_eue
baseline_noce,EUE,Primary,2030,0.647264555695339,Mt/yr,production_aluminium_eue
baseline_noce,EUE,Primary,2035,0.457062253751323,Mt/yr,production_aluminium_eue
baseline_noce,EUE,Primary,2040,0.430573244810381,Mt/yr,production_aluminium_eue
baseline_noce,EUE,Primary,2050,0.509720798004782,Mt/yr,production_aluminium_eue
baseline_noce,EUE,Secondary,2019,0.21999999885195,Mt/yr,production_aluminium_eue
baseline_noce,EUE,Secondary,2024,0.5143122021291,Mt/yr,production_aluminium_eue
baseline_noce,EUE,Secondary,2030,1.15113543887104,Mt/yr,production_aluminium_eue
baseline_noce,EUE,Secondary,2035,1.4029377380204,Mt/yr,production_aluminium_eue
baseline_noce,EUE,Secondary,2040,1.44942674084935,Mt/yr,production_aluminium_eue
baseline_noce,EUE,Secondary,2050,1.23987918974162,Mt/yr,production_aluminium_eue
baseline_noce,EUM,Cement,2019,64.3814999978085,Mt/yr,production_cement_eum
baseline_noce,EUM,Cement,2024,67.4396215653284,Mt/yr,production_cement_eum
baseline_noce,EUM,Cement,2030,67.7937195004579,Mt/yr,production_cement_eum
baseline_noce,EUM,Cement,2035,68.1800085012766,Mt/yr,production_cement_eum
baseline_noce,EUM,Cement,2040,66.9567600004655,Mt/yr,production_cement_eum
baseline_noce,EUM,Cement,2050,64.3171185026458,Mt/yr,production_cement_eum
baseline_noce,EUM,Clinker,2019,57.7762999860838,Mt/yr,production_cement_eum
