Scenario,Scope,Series,Year,Value,Unit
baseline_noce,Regional set 1,AFE,2019,6.4375495438117e-05,USD_2010/tCO2e
baseline_noce,Regional set 1,AFE,2024,10.7914987821083,USD_2010/tCO2e
baseline_noce,Regional set 1,AFE,2030,164.561506998678,USD_2010/tCO2e
baseline_noce,Regional set 1,AFE,2035,127.821793160128,USD_2010/tCO2e
baseline_noce,Regional set 1,AFE,2040,327.459211981471,USD_2010/tCO2e
baseline_noce,Regional set 1,AFE,2050,85.0012258609473,USD_2010/tCO2e
baseline_noce,Regional set 1,AFN,2019,1.27469413372404e-05,USD_2010/tCO2e
baseline_noce,Regional set 1,AFN,2024,4.05778578092238e-06,USD_2010/tCO2e
baseline_noce,Regional set 1,AFN,2030,2.41138782531231e-08,USD_2010/tCO2e
baseline_noce,Regional set 1,AFN,2035,150.563100737303,USD_2010/tCO2e
baseline_noce,Regional set 1,AFN,2040,248.53696185685504,USD_2010/tCO2e
baseline_noce,Regional set 1,AFN,2050,253.49740699630203,USD_2010/tCO2e
baseline_noce,Regional set 1,AFW,2019,5.20223616201246e-05,USD_2010/tCO2e
baseline_noce,Regional set 1,AFW,2024,1.55067147579407e-06,USD_2010/tCO2e
baseline_noce,Regional set 1,AFW,2030,1.7976689864110505e-07,USD_2010/tCO2e
baseline_noce,Regional set 1,AFW,2035,3.58291834252597e-08,USD_2010/tCO2e
baseline_noce,Regional set 1,AFW,2040,111.556603638348,USD_2010/tCO2e
baseline_noce,Regional set 1,AFW,2050,240.64747830827295,USD_2010/tCO2e
baseline_noce,Regional set 1,AFZ,2019,1.28156551014386e-05,USD_2010/tCO2e
baseline_noce,Regional set 1,AFZ,2024,4.6041533990692205,USD_2010/tCO2e
baseline_noce,Regional set 1,AFZ,2030,67.3439777417158,USD_2010/tCO2e
baseline_noce,Regional set 1,AFZ,2035,7.5321113514458e-08,USD_2010/tCO2e
baseline_noce,Regional set 1,AFZ,2040,72.4691731051868,USD_2010/tCO2e
baseline_noce,Regional set 1,AFZ,2050,249.28898548258,USD_2010/tCO2e
baseline_noce,Regional set 1,ANZ,2019,1.56178919935201e-05,USD_2010/tCO2e
baseline_noce,Regional set 1,ANZ,2024,52.072405477123006,USD_2010/tCO2e
baseline_noce,Regional set 1,ANZ,2030,374.085331806142,USD_2010/tCO2e
baseline_noce,Regional set 1,ANZ,2035,431.059019959808,USD_2010/tCO2e
baseline_noce,Regional set 1,ANZ,2040,491.753468329532,USD_2010/tCO2e
baseline_noce,Regional set 1,ANZ,2050,1010.67086177617,USD_2010/tCO2e
baseline_noce,Regional set 1,ASC,2019,1.45276314991777e-05,USD_2010/tCO2e
baseline_noce,Regional set 1,ASC,2024,4.34613342575925e-07,USD_2010/tCO2e
baseline_noce,Regional set 1,ASC,2030,2.55612956776681e-08,USD_2010/tCO2e
baseline_noce,Regional set 1,ASC,2035,35.9991026689346,USD_2010/tCO2e
baseline_noce,Regional set 1,ASC,2040,265.096420003436,USD_2010/tCO2e
baseline_noce,Regional set 1,ASC,2050,329.965254630883,USD_2010/tCO2e
baseline_noce,Regional set 1,ASE,2019,1.03635425258715e-05,USD_2010/tCO2e
baseline_noce,Regional set 1,ASE,2024,12.0646711284619,USD_2010/tCO2e
baseline_noce,Regional set 1,ASE,2030,1.35552459572404e-08,USD_2010/tCO2e
baseline_noce,Regional set 1,ASE,2035,599.736881302178,USD_2010/tCO2e
baseline_noce,Regional set 1,ASE,2040,873.264488113254,USD_2010/tCO2e
baseline_noce,Regional set 1,ASE,2050,511.869202694429,USD_2010/tCO2e
