Scenario,Scope,Series,Year,Value,Unit
baseline_noce,Regional set 4,MDA,2019,15.986622616159199,GJ/t
baseline_noce,Regional set 4,MDA,2024,27.2161000012094,GJ/t
baseline_noce,Regional set 4,MDA,2030,31.5831984054738,GJ/t
baseline_noce,Regional set 4,MDA,2035,39.240686190650095,GJ/t
baseline_noce,Regional set 4,MDA,2040,53.308708444397894,GJ/t
baseline_noce,Regional set 4,MDA,2050,71.0000013425591,GJ/t
baseline_noce,Regional set 4,MEA,2019,90.2290621801593,GJ/t
baseline_noce,Regional set 4,MEA,2024,85.6003028735056,GJ/t
baseline_noce,Regional set 4,MEA,2030,80.3725989024863,GJ/t
baseline_noce,Regional set 4,MEA,2035,74.98684489995749,GJ/t
baseline_noce,Regional set 4,MEA,2040,69.9138430665365,GJ/t
baseline_noce,Regional set 4,MEA,2050,74.7054560242612,GJ/t
baseline_noce,Regional set 4,MEX,2019,6.1269412134548,GJ/t
baseline_noce,Regional set 4,MEX,2024,6.1269456958701,GJ/t
baseline_noce,Regional set 4,MEX,2030,6.1269412134548995,GJ/t
baseline_noce,Regional set 4,MEX,2035,6.1269411677968,GJ/t
baseline_noce,Regional set 4,MEX,2040,6.1269411876854,GJ/t
baseline_noce,Regional set 4,MEX,2050,6.2079839034466,GJ/t
baseline_noce,Regional set 4,NIG,2019,,GJ/t
baseline_noce,Regional set 4,NIG,2024,,GJ/t
baseline_noce,Regional set 4,NIG,2030,,GJ/t
baseline_noce,Regional set 4,NIG,2035,,GJ/t
baseline_noce,Regional set 4,NIG,2040,,GJ/t
baseline_noce,Regional set 4,NIG,2050,,GJ/t
baseline_noce,Regional set 4,RUS,2019,71.2823172872854,GJ/t
baseline_noce,Regional set 4,RUS,2024,65.67179069788739,GJ/t
baseline_noce,Regional set 4,RUS,2030,62.5413541049647,GJ/t
baseline_noce,Regional set 4,RUS,2035,57.9267284367066,GJ/t
baseline_noce,Regional set 4,RUS,2040,54.7169054995083,GJ/t
baseline_noce,Regional set 4,RUS,2050,74.9713979263355,GJ/t
baseline_noce,Regional set 4,SKT,2019,6.1269412134548,GJ/t
baseline_noce,Regional set 4,SKT,2024,6.1269443848283,GJ/t
baseline_noce,Regional set 4,SKT,2030,6.1269412134548995,GJ/t
baseline_noce,Regional set 4,SKT,2035,5.618057385924001,GJ/t
baseline_noce,Regional set 4,SKT,2040,4.7879876267241,GJ/t
baseline_noce,Regional set 4,SKT,2050,3.2999999999999,GJ/t
baseline_noce,Regional set 4,USA,2019,22.7752563221569,GJ/t
baseline_noce,Regional set 4,USA,2024,15.9281491231766,GJ/t
baseline_noce,Regional set 4,USA,2030,14.0157518412906,GJ/t
baseline_noce,Regional set 4,USA,2035,26.6840343192721,GJ/t
baseline_noce,Regional set 4,USA,2040,48.9625520688342,GJ/t
baseline_noce,Regional set 4,USA,2050,71.54425500869719,GJ/t
